,Code,Name,Date,Open,High,Low,Close,Volume,Change
205,195870,해성디에스,2019-11-01,14750,14850,14450,14550,31940,-0.010204081632653073
206,195870,해성디에스,2019-11-04,14650,14650,14250,14550,26529,0.0
207,195870,해성디에스,2019-11-05,14600,14950,14450,14850,46364,0.020618556701030855
208,195870,해성디에스,2019-11-06,14950,14950,14450,14550,39279,-0.020202020202020218
209,195870,해성디에스,2019-11-07,14550,14650,14100,14100,30647,-0.030927835051546393
210,195870,해성디에스,2019-11-08,14100,14400,13950,13950,37264,-0.010638297872340384
211,195870,해성디에스,2019-11-11,14000,14500,14000,14450,34820,0.03584229390680993
212,195870,해성디에스,2019-11-12,14450,14600,14200,14550,16612,0.006920415224913601
213,195870,해성디에스,2019-11-13,14550,14550,13950,14350,27610,-0.013745704467353905
214,195870,해성디에스,2019-11-14,14250,14400,14050,14200,12229,-0.010452961672473893
215,195870,해성디에스,2019-11-15,14150,14550,14150,14400,18401,0.014084507042253502
216,195870,해성디에스,2019-11-18,14400,14600,14250,14400,13762,0.0
217,195870,해성디에스,2019-11-19,14400,14600,14200,14350,37512,-0.0034722222222222103
218,195870,해성디에스,2019-11-20,14400,14400,14000,14200,27135,-0.010452961672473893
219,195870,해성디에스,2019-11-21,14150,14150,13750,13850,30936,-0.024647887323943633
220,195870,해성디에스,2019-11-22,13800,14150,13800,14100,27340,0.01805054151624552
221,195870,해성디에스,2019-11-25,13950,14200,13900,14200,28052,0.007092198581560183
222,195870,해성디에스,2019-11-26,14200,14350,14000,14150,21886,-0.0035211267605633756
223,195870,해성디에스,2019-11-27,14150,14250,13800,13950,46561,-0.014134275618374548
224,195870,해성디에스,2019-11-28,13850,14050,13800,14000,9602,0.0035842293906809264
225,195870,해성디에스,2019-11-29,13900,14150,13850,13900,14958,-0.007142857142857118
226,195870,해성디에스,2019-12-02,13950,14100,13850,13900,12520,0.0
227,195870,해성디에스,2019-12-03,13800,14050,13600,13900,14520,0.0
228,195870,해성디에스,2019-12-04,13900,14000,13800,13800,12440,-0.007194244604316501
229,195870,해성디에스,2019-12-05,13800,13950,13600,13900,22277,0.007246376811594234
230,195870,해성디에스,2019-12-06,13900,14550,13900,14300,30836,0.02877697841726623
231,195870,해성디에스,2019-12-09,14450,14500,13900,13900,18902,-0.027972027972028024
232,195870,해성디에스,2019-12-10,14300,14750,14150,14600,89833,0.050359712230215736
233,195870,해성디에스,2019-12-11,14750,14900,14400,14700,37140,0.006849315068493178
234,195870,해성디에스,2019-12-12,14800,15250,14750,15200,117895,0.034013605442176915
235,195870,해성디에스,2019-12-13,15400,15650,15100,15200,108712,0.0
236,195870,해성디에스,2019-12-16,15300,15350,15000,15200,50505,0.0
237,195870,해성디에스,2019-12-17,15200,15600,14950,15350,82386,0.009868421052631636
238,195870,해성디에스,2019-12-18,15400,15550,15300,15400,63175,0.0032573289902280145
239,195870,해성디에스,2019-12-19,15600,15600,15100,15200,30784,-0.012987012987012991
240,195870,해성디에스,2019-12-20,15200,15250,14950,15150,48178,-0.003289473684210509
241,195870,해성디에스,2019-12-23,15150,15200,14950,15000,25573,-0.00990099009900991
242,195870,해성디에스,2019-12-24,15050,15200,14850,15200,56885,0.013333333333333421
243,195870,해성디에스,2019-12-26,15050,15700,15050,15500,109914,0.019736842105263053
244,195870,해성디에스,2019-12-27,15550,16200,15550,15750,169171,0.016129032258064502
245,195870,해성디에스,2019-12-30,15750,15950,15500,15800,47595,0.0031746031746031638
246,195870,해성디에스,2020-01-02,16000,16300,15900,16250,106835,0.028481012658227774
247,195870,해성디에스,2020-01-03,16500,16500,15900,16100,73479,-0.009230769230769265
248,195870,해성디에스,2020-01-06,15900,17900,15800,17750,530941,0.10248447204968936
249,195870,해성디에스,2020-01-07,18000,18350,17500,17800,314450,0.0028169014084507005
250,195870,해성디에스,2020-01-08,17600,18150,17550,17750,233910,-0.0028089887640448947
251,195870,해성디에스,2020-01-09,18100,18300,17800,18200,185483,0.025352112676056304
252,195870,해성디에스,2020-01-10,18200,18800,18050,18450,219324,0.013736263736263687
253,195870,해성디에스,2020-01-13,18350,18600,17900,18250,112391,-0.010840108401083959
254,195870,해성디에스,2020-01-14,18250,18400,17950,18250,115018,0.0
255,195870,해성디에스,2020-01-15,18350,18350,18000,18200,48105,-0.002739726027397249
256,195870,해성디에스,2020-01-16,18500,18500,17950,18200,105631,0.0
257,195870,해성디에스,2020-01-17,18700,18700,17850,18150,195097,-0.002747252747252737
258,195870,해성디에스,2020-01-20,18250,18800,18050,18150,155440,0.0
259,195870,해성디에스,2020-01-21,18200,18800,18050,18750,164443,0.03305785123966931
260,195870,해성디에스,2020-01-22,18650,18800,18300,18750,79663,0.0
261,195870,해성디에스,2020-01-23,18850,18900,18300,18800,87219,0.002666666666666595
262,195870,해성디에스,2020-01-28,18150,18400,17800,18300,128070,-0.02659574468085102
263,195870,해성디에스,2020-01-29,18500,18500,18150,18200,50160,-0.005464480874316946
264,195870,해성디에스,2020-01-30,18150,18650,18000,18350,110512,0.008241758241758212
265,195870,해성디에스,2020-01-31,18350,18600,17850,17850,65759,-0.027247956403269716
266,195870,해성디에스,2020-02-03,17400,18250,17150,18100,84781,0.014005602240896307
267,195870,해성디에스,2020-02-04,18200,18650,17950,18550,100818,0.024861878453038774
268,195870,해성디에스,2020-02-05,18900,19700,18750,19200,450215,0.03504043126684642
269,195870,해성디에스,2020-02-06,19300,19450,18850,19000,161982,-0.01041666666666663
270,195870,해성디에스,2020-02-07,19050,19500,18800,19000,147044,0.0
271,195870,해성디에스,2020-02-10,18800,19100,18750,19000,56797,0.0
